OpenTime,Open,High,Low,Close,Volume,CloseTime,QouteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,?
1598133600000,4.26470000,4.30000000,4.10920000,4.23980000,888151.71000000,1598137199999,3746910.79741000,7940,448569.02000000,1893179.81639300,0
1598137200000,4.23960000,4.55000000,4.23920000,4.45460000,2076918.47000000,1598140799999,9195351.53835600,15853,1240650.38000000,5497269.49225200,0
1598140800000,4.47560000,4.48640000,4.24680000,4.28840000,1435644.66000000,1598144399999,6258915.63022800,12517,664714.06000000,2901072.57416400,0
1598144400000,4.28250000,4.41660000,4.13200000,4.41000000,1100079.62000000,1598147999999,4675117.62444800,9386,528812.70000000,2249553.20001500,0
1598148000000,4.41000000,4.41330000,4.21000000,4.30660000,746797.18000000,1598151599999,3208418.22812600,6864,274525.37000000,1180177.20534300,0
1598151600000,4.31000000,4.31510000,4.02020000,4.10000000,1473303.08000000,1598155199999,6093258.58513700,12707,693437.43000000,2863337.99942100,0
1598155200000,4.10000000,4.26000000,4.02790000,4.25220000,717698.09000000,1598158799999,2954268.32996700,6622,359464.02000000,1484524.53754800,0
1598158800000,4.25990000,4.27760000,4.09000000,4.14730000,579994.74000000,1598162399999,2410858.04282200,8809,321282.39000000,1335130.76153600,0
1598162400000,4.14730000,4.14970000,4.01000000,4.13860000,811721.32000000,1598165999999,3317820.50194700,6798,402304.01000000,1647061.00806300,0
1598166000000,4.13860000,4.26910000,4.11020000,4.20830000,549976.39000000,1598169599999,2305081.05155700,5778,321846.20000000,1347506.73559800,0
1598169600000,4.20930000,4.22550000,4.12020000,4.12620000,583962.40000000,1598173199999,2431941.67351700,5231,247475.49000000,1031256.74019800,0
1598173200000,4.13350000,4.19380000,4.12900000,4.17780000,501210.15000000,1598176799999,2091403.32167800,3801,195684.66000000,815693.80353000,0
1598176800000,4.18000000,4.18330000,3.80290000,3.88910000,2221928.19000000,1598180399999,8810693.35937600,14183,909363.57000000,3607464.42002000,0
1598180400000,3.90000000,3.98880000,3.71700000,3.73990000,1858100.57000000,1598183999999,7162378.01756600,11291,906337.49000000,3504230.39285200,0
1598184000000,3.74180000,3.93190000,3.70320000,3.84700000,2241666.16000000,1598187599999,8560523.63155300,10666,1124739.19000000,4290881.15921400,0
1598187600000,3.84700000,3.97360000,3.82140000,3.84410000,1178728.39000000,1598191199999,4583770.71506000,7650,571052.67000000,2221373.79539200,0
1598191200000,3.83800000,3.91020000,3.78020000,3.83750000,1116829.94000000,1598194799999,4294626.69039400,7401,614179.12000000,2362758.98062100,0
1598194800000,3.84560000,3.91560000,3.71850000,3.91000000,1250089.02000000,1598198399999,4765761.98078000,7059,626320.35000000,2391003.51782400,0
1598198400000,3.91000000,3.91830000,3.72400000,3.78030000,964304.81000000,1598201999999,3660910.71070900,6313,497533.67000000,1889553.57248100,0
1598202000000,3.78090000,3.88800000,3.75000000,3.76760000,531725.61000000,1598205599999,2025463.91403600,4484,280455.75000000,1069079.49930000,0
1598205600000,3.76330000,3.88620000,3.75250000,3.83630000,398467.00000000,1598209199999,1525013.38645800,3027,190638.84000000,729327.87028200,0
1598209200000,3.84370000,4.10000000,3.84280000,4.03180000,745188.42000000,1598212799999,2966570.19250800,5493,428917.52000000,1707369.68938200,0
1598212800000,4.04310000,4.12850000,3.94680000,3.98300000,606483.80000000,1598216399999,2455706.51674600,5403,268920.25000000,1091218.25355700,0
1598216400000,3.98070000,4.05810000,3.89100000,3.91040000,802805.12000000,1598219999999,3163347.96518400,4881,488847.26000000,1924711.47895700,0
1598220000000,3.91050000,3.92440000,3.85400000,3.92060000,436567.23000000,1598223599999,1702705.57882000,2792,239881.39000000,936533.26293200,0
1598223600000,3.92060000,4.12840000,3.92060000,3.97790000,992037.76000000,1598227199999,4004430.61304800,6335,603020.65000000,2432868.48270000,0
1598227200000,3.98050000,4.01980000,3.86500000,3.94000000,617907.98000000,1598230799999,2425090.73303800,3736,320927.18000000,1258919.40342500,0
1598230800000,3.94000000,3.94800000,3.80000000,3.82110000,617121.59000000,1598234399999,2378675.27326000,3830,267874.10000000,1032807.08086600,0
1598234400000,3.82000000,4.00000000,3.78000000,3.87820000,1182038.33000000,1598237999999,4556552.76187700,7602,764243.43000000,2941141.37385500,0
1598238000000,3.87990000,3.95730000,3.85840000,3.94710000,389278.59000000,1598241599999,1524741.85678800,2703,205750.75000000,806118.52301500,0
1598241600000,3.94710000,4.00000000,3.85210000,3.99920000,611220.61000000,1598245199999,2411609.28692000,4437,398170.80000000,1574584.48196300,0
1598245200000,3.99920000,4.04160000,3.92530000,3.96900000,812468.74000000,1598248799999,3242473.78259900,5326,485650.10000000,1937509.98713400,0
1598248800000,3.96880000,4.14000000,3.96870000,4.05860000,973810.62000000,1598252399999,3953178.15385100,6726,611817.49000000,2482642.67938900,0
1598252400000,4.05840000,4.11530000,3.94700000,3.96340000,1192036.92000000,1598255999999,4801160.85677400,7794,643122.92000000,2588956.85204600,0
1598256000000,3.96380000,4.03120000,3.90010000,3.93210000,765529.71000000,1598259599999,3030591.13620000,5588,432806.84000000,1714326.30707500,0
1598259600000,3.93210000,4.07600000,3.93210000,4.04640000,734485.67000000,1598263199999,2950674.91385900,6475,474970.79000000,1907650.14874700,0
1598263200000,4.04660000,4.15980000,4.02250000,4.07900000,1110537.20000000,1598266799999,4551855.34414600,7013,728827.76000000,2989968.96076800,0
1598266800000,4.07900000,4.16010000,4.01740000,4.15410000,1018211.62000000,1598270399999,4150231.52982700,7356,676815.51000000,2759162.95853700,0
1598270400000,4.15410000,4.31970000,4.10000000,4.27180000,1588536.70000000,1598273999999,6706883.25982300,10823,909021.26000000,3837356.85446400,0
1598274000000,4.27180000,4.27850000,4.16900000,4.26180000,1175298.44000000,1598277599999,4957755.46074200,7910,658794.57000000,2778318.54759000,0
1598277600000,4.26130000,4.29000000,4.11940000,4.16560000,985900.23000000,1598281199999,4128690.44949700,6777,511696.27000000,2143012.61752800,0
1598281200000,4.16280000,4.25290000,4.10000000,4.21050000,732685.27000000,1598284799999,3066790.78536000,5530,409588.22000000,1716332.55219000,0
1598284800000,4.21050000,4.38760000,4.17550000,4.38050000,1217247.58000000,1598288399999,5234330.51426900,10574,707215.91000000,3041102.13201800,0
1598288400000,4.38290000,4.49990000,4.30000000,4.42510000,2734044.43000000,1598291999999,12044913.03959900,17619,1407936.74000000,6199464.65712600,0
1598292000000,4.42760000,4.42760000,4.27500000,4.28220000,1016123.62000000,1598295599999,4396649.98865300,8986,573282.16000000,2478132.61030700,0
1598295600000,4.28100000,4.48500000,4.27700000,4.44990000,775486.28000000,1598299199999,3402784.55886300,7328,456498.54000000,2004008.29315400,0
1598299200000,4.44900000,4.67000000,4.35000000,4.66090000,1620862.78000000,1598302799999,7333980.03775500,12887,965456.77000000,4368097.34500400,0
1598302800000,4.66090000,4.77000000,4.59640000,4.70000000,1677260.30000000,1598306399999,7864640.58167800,12735,902077.85000000,4230640.18397100,0
1598306400000,4.69830000,4.79830000,4.57710000,4.69180000,1341622.22000000,1598309999999,6298488.30396900,10663,682566.44000000,3206063.73787100,0
1598310000000,4.69940000,4.76000000,4.54000000,4.57590000,954237.69000000,1598313599999,4433846.04636600,8623,406219.73000000,1890132.96736500,0
1598313600000,4.57590000,4.68290000,4.48000000,4.61610000,925631.26000000,1598317199999,4232653.97516100,8073,476864.36000000,2183027.08224000,0
1598317200000,4.61290000,4.88000000,4.57470000,4.86650000,1112429.22000000,1598320799999,5271604.18761000,10321,636309.53000000,3022329.60743000,0
1598320800000,4.86470000,4.92200000,4.71000000,4.71400000,1848757.82000000,1598324399999,8900766.81918600,15182,1047706.15000000,5044436.44836600,0
1598324400000,4.71300000,4.89350000,4.66920000,4.82750000,1273827.46000000,1598327999999,6119245.68667300,9954,770761.16000000,3706192.60213500,0
1598328000000,4.82790000,4.86860000,4.73610000,4.85440000,963933.80000000,1598331599999,4625880.73066000,7884,521162.97000000,2498302.44970700,0
1598331600000,4.85140000,4.99470000,4.84330000,4.85310000,1826041.02000000,1598335199999,8982763.97014500,13788,1021206.23000000,5025170.32364100,0
1598335200000,4.85890000,4.87000000,4.68000000,4.70830000,1715627.04000000,1598338799999,8188977.67905400,15882,1028680.32000000,4910452.91496600,0
1598338800000,4.71160000,4.84800000,4.57000000,4.70810000,1698827.75000000,1598342399999,8001463.38129900,13051,833596.39000000,3932191.10836300,0
1598342400000,4.71080000,4.74560000,4.52500000,4.70800000,1321057.07000000,1598345999999,6144416.53892300,10100,718221.65000000,3344818.06129700,0
