,filters,batch_size,kernel_size,dilation_rate,num_res_blocks,lookback_window,forecast_window,test_partition
267,128.0,24.0,128.0,5.0,2.0,672.0,24.0,2.0
268,128.0,24.0,128.0,5.0,2.0,672.0,24.0,3.0
269,128.0,24.0,128.0,5.0,2.0,672.0,24.0,4.0
270,128.0,24.0,128.0,16.0,0.0,168.0,6.0,0.0
271,128.0,24.0,128.0,16.0,0.0,168.0,6.0,1.0
272,128.0,24.0,128.0,16.0,0.0,168.0,6.0,2.0
273,128.0,24.0,128.0,16.0,0.0,168.0,6.0,3.0
274,128.0,24.0,128.0,16.0,0.0,168.0,6.0,4.0
275,128.0,24.0,128.0,16.0,0.0,168.0,12.0,0.0
276,128.0,24.0,128.0,16.0,0.0,168.0,12.0,1.0
277,128.0,24.0,128.0,16.0,0.0,168.0,12.0,2.0
278,128.0,24.0,128.0,16.0,0.0,168.0,12.0,3.0
279,128.0,24.0,128.0,16.0,0.0,168.0,12.0,4.0
280,128.0,24.0,128.0,16.0,0.0,168.0,24.0,0.0
281,128.0,24.0,128.0,16.0,0.0,168.0,24.0,1.0
282,128.0,24.0,128.0,16.0,0.0,168.0,24.0,2.0
283,128.0,24.0,128.0,16.0,0.0,168.0,24.0,3.0
284,128.0,24.0,128.0,16.0,0.0,168.0,24.0,4.0
285,128.0,24.0,128.0,16.0,0.0,336.0,6.0,0.0
286,128.0,24.0,128.0,16.0,0.0,336.0,6.0,1.0
287,128.0,24.0,128.0,16.0,0.0,336.0,6.0,2.0
288,128.0,24.0,128.0,16.0,0.0,336.0,6.0,3.0
289,128.0,24.0,128.0,16.0,0.0,336.0,6.0,4.0
290,128.0,24.0,128.0,16.0,0.0,336.0,12.0,0.0
291,128.0,24.0,128.0,16.0,0.0,336.0,12.0,1.0
292,128.0,24.0,128.0,16.0,0.0,336.0,12.0,2.0
293,128.0,24.0,128.0,16.0,0.0,336.0,12.0,3.0
294,128.0,24.0,128.0,16.0,0.0,336.0,12.0,4.0
295,128.0,24.0,128.0,16.0,0.0,336.0,24.0,0.0
296,128.0,24.0,128.0,16.0,0.0,336.0,24.0,1.0
297,128.0,24.0,128.0,16.0,0.0,336.0,24.0,2.0
298,128.0,24.0,128.0,16.0,0.0,336.0,24.0,3.0
299,128.0,24.0,128.0,16.0,0.0,336.0,24.0,4.0
300,128.0,24.0,128.0,16.0,0.0,672.0,6.0,0.0
301,128.0,24.0,128.0,16.0,0.0,672.0,6.0,1.0
302,128.0,24.0,128.0,16.0,0.0,672.0,6.0,2.0
303,128.0,24.0,128.0,16.0,0.0,672.0,6.0,3.0
304,128.0,24.0,128.0,16.0,0.0,672.0,6.0,4.0
305,128.0,24.0,128.0,16.0,0.0,672.0,12.0,0.0
306,128.0,24.0,128.0,16.0,0.0,672.0,12.0,1.0
307,128.0,24.0,128.0,16.0,0.0,672.0,12.0,2.0
308,128.0,24.0,128.0,16.0,0.0,672.0,12.0,3.0
309,128.0,24.0,128.0,16.0,0.0,672.0,12.0,4.0
310,128.0,24.0,128.0,16.0,0.0,672.0,24.0,0.0
311,128.0,24.0,128.0,16.0,0.0,672.0,24.0,1.0
312,128.0,24.0,128.0,16.0,0.0,672.0,24.0,2.0
313,128.0,24.0,128.0,16.0,0.0,672.0,24.0,3.0
314,128.0,24.0,128.0,16.0,0.0,672.0,24.0,4.0
315,128.0,24.0,128.0,16.0,1.0,168.0,6.0,0.0
316,128.0,24.0,128.0,16.0,1.0,168.0,6.0,1.0
317,128.0,24.0,128.0,16.0,1.0,168.0,6.0,2.0
318,128.0,24.0,128.0,16.0,1.0,168.0,6.0,3.0
319,128.0,24.0,128.0,16.0,1.0,168.0,6.0,4.0
320,128.0,24.0,128.0,16.0,1.0,168.0,12.0,0.0
321,128.0,24.0,128.0,16.0,1.0,168.0,12.0,1.0
322,128.0,24.0,128.0,16.0,1.0,168.0,12.0,2.0
323,128.0,24.0,128.0,16.0,1.0,168.0,12.0,3.0
324,128.0,24.0,128.0,16.0,1.0,168.0,12.0,4.0
325,128.0,24.0,128.0,16.0,1.0,168.0,24.0,0.0
