OpenTime,Open,High,Low,Close,Volume,Date
1600592400.0,5.51340000,5.76940000,5.47180000,5.6773,1314433.66000000,2020-09-20 09:00:00
1600596000.0,5.67730000,5.84990000,5.60470000,5.762,1605474.79000000,2020-09-20 10:00:00
1600599600.0,5.76200000,5.78690000,5.57430000,5.67,977708.23000000,2020-09-20 11:00:00
1600603200.0,5.67000000,5.67000000,5.30000000,5.3753,2427330.13000000,2020-09-20 12:00:00
1600606800.0,5.37530000,5.37880000,5.01940000,5.2,4195961.66000000,2020-09-20 13:00:00
1600610400.0,5.20000000,5.22950000,4.84000000,4.9448,4322564.30000000,2020-09-20 14:00:00
1600614000.0,4.94630000,5.20000000,4.89220000,4.9664,2606806.36000000,2020-09-20 15:00:00
1600617600.0,4.96870000,5.07130000,4.65000000,5.07,5048979.82000000,2020-09-20 16:00:00
1600621200.0,5.06760000,5.23840000,4.99370000,5.193,2581931.89000000,2020-09-20 17:00:00
1600624800.0,5.19500000,5.26560000,4.92200000,5.0682,1739595.16000000,2020-09-20 18:00:00
1600628400.0,5.06930000,5.20130000,4.90050000,4.9732,1875595.11000000,2020-09-20 19:00:00
1600632000.0,4.97640000,5.01000000,4.73000000,4.8667,2241896.07000000,2020-09-20 20:00:00
1600635600.0,4.86470000,5.03990000,4.71000000,4.8685,1742798.98000000,2020-09-20 21:00:00
1600639200.0,4.86850000,4.96550000,4.70000000,4.9025,1736793.04000000,2020-09-20 22:00:00
1600642800.0,4.90480000,5.41860000,4.90250000,5.223,3120422.65000000,2020-09-20 23:00:00
1600646400.0,5.22000000,5.48390000,5.15000000,5.4045,2578717.75000000,2020-09-21 00:00:00
1600650000.0,5.40390000,5.47500000,5.20000000,5.24,1548091.90000000,2020-09-21 01:00:00
1600653600.0,5.23660000,5.34260000,5.07000000,5.1857,1289433.68000000,2020-09-21 02:00:00
1600657200.0,5.18370000,5.41400000,5.13000000,5.3681,1278271.94000000,2020-09-21 03:00:00
1600660800.0,5.36810000,5.65000000,5.29000000,5.5641,2203389.02000000,2020-09-21 04:00:00
1600664400.0,5.56410000,5.62770000,5.40000000,5.5106,1411949.34000000,2020-09-21 05:00:00
1600668000.0,5.51060000,5.56500000,5.36810000,5.4143,1142999.65000000,2020-09-21 06:00:00
1600671600.0,5.41420000,5.47420000,5.13200000,5.1685,1970619.86000000,2020-09-21 07:00:00
1600675200.0,5.16850000,5.22000000,4.80000000,4.975,3381435.89000000,2020-09-21 08:00:00
1600678800.0,4.97500000,5.04000000,4.51120000,4.5631,3533348.74000000,2020-09-21 09:00:00
1600682400.0,4.56520000,4.70400000,4.40010000,4.6064,4502146.53000000,2020-09-21 10:00:00
1600686000.0,4.60900000,4.64000000,4.21260000,4.3992,3965501.18000000,2020-09-21 11:00:00
1600689600.0,4.39600000,4.59900000,4.26530000,4.5173,3933411.74000000,2020-09-21 12:00:00
1600693200.0,4.51730000,4.66450000,4.42880000,4.5108,3210164.37000000,2020-09-21 13:00:00
1600696800.0,4.51070000,4.54300000,4.06000000,4.2873,4819667.39000000,2020-09-21 14:00:00
1600700400.0,4.28680000,4.38400000,4.19470000,4.2645,2878601.47000000,2020-09-21 15:00:00
