OpenTime,Open,High,Low,Close,Volume,Date
1598302800.0,4.66090000,4.77000000,4.59640000,4.7,1677260.30000000,2020-08-24 21:00:00
1598306400.0,4.69830000,4.79830000,4.57710000,4.6918,1341622.22000000,2020-08-24 22:00:00
1598310000.0,4.69940000,4.76000000,4.54000000,4.5759,954237.69000000,2020-08-24 23:00:00
1598313600.0,4.57590000,4.68290000,4.48000000,4.6161,925631.26000000,2020-08-25 00:00:00
1598317200.0,4.61290000,4.88000000,4.57470000,4.8665,1112429.22000000,2020-08-25 01:00:00
1598320800.0,4.86470000,4.92200000,4.71000000,4.714,1848757.82000000,2020-08-25 02:00:00
1598324400.0,4.71300000,4.89350000,4.66920000,4.8275,1273827.46000000,2020-08-25 03:00:00
1598328000.0,4.82790000,4.86860000,4.73610000,4.8544,963933.80000000,2020-08-25 04:00:00
1598331600.0,4.85140000,4.99470000,4.84330000,4.8531,1826041.02000000,2020-08-25 05:00:00
1598335200.0,4.85890000,4.87000000,4.68000000,4.7083,1715627.04000000,2020-08-25 06:00:00
1598338800.0,4.71160000,4.84800000,4.57000000,4.7081,1698827.75000000,2020-08-25 07:00:00
1598342400.0,4.71080000,4.74560000,4.52500000,4.708,1321057.07000000,2020-08-25 08:00:00
1598346000.0,4.70920000,4.75370000,4.63560000,4.6887,715213.19000000,2020-08-25 09:00:00
1598349600.0,4.68680000,4.92900000,4.68340000,4.8816,1000022.28000000,2020-08-25 10:00:00
1598353200.0,4.88240000,4.98000000,4.78380000,4.9248,1055523.44000000,2020-08-25 11:00:00
1598356800.0,4.93010000,4.95000000,4.65000000,4.785,1929225.77000000,2020-08-25 12:00:00
1598360400.0,4.78500000,4.91090000,4.74260000,4.8292,1183383.89000000,2020-08-25 13:00:00
1598364000.0,4.82760000,4.83100000,4.61880000,4.7343,1523306.02000000,2020-08-25 14:00:00
1598367600.0,4.73430000,4.81000000,4.65500000,4.7883,1087306.86000000,2020-08-25 15:00:00
1598371200.0,4.78950000,5.35000000,4.77000000,5.1674,4833685.69000000,2020-08-25 16:00:00
1598374800.0,5.19210000,5.42340000,5.10000000,5.356,2681028.33000000,2020-08-25 17:00:00
1598378400.0,5.36500000,5.42000000,5.17500000,5.3174,1943921.07000000,2020-08-25 18:00:00
1598382000.0,5.31720000,5.49300000,5.30950000,5.399,1333265.81000000,2020-08-25 19:00:00
1598385600.0,5.39900000,5.69830000,5.31470000,5.6611,1847416.50000000,2020-08-25 20:00:00
1598389200.0,5.66110000,5.77000000,5.35750000,5.4118,2470103.88000000,2020-08-25 21:00:00
